EVSE_Type,Year,Accessibility
All EVSE,Year2014,111.1480866
All EVSE,Year2014,21.18772664
All EVSE,Year2014,33.31738355
All EVSE,Year2014,35.84874327
All EVSE,Year2014,63.82758601
All EVSE,Year2014,7.120447351
All EVSE,Year2014,16.47352828
All EVSE,Year2014,88.29723573
All EVSE,Year2014,37.85716144
All EVSE,Year2014,262.9402356
All EVSE,Year2014,70.19045706
All EVSE,Year2014,29.94949883
All EVSE,Year2014,281.5829778
All EVSE,Year2014,105.5898539
All EVSE,Year2014,61.69061773
All EVSE,Year2014,286.3738044
All EVSE,Year2014,38.05080569
All EVSE,Year2014,574.8325579
All EVSE,Year2014,62.17118566
All EVSE,Year2014,8.631638911
All EVSE,Year2014,37.30140831
All EVSE,Year2014,2.704831544
All EVSE,Year2014,66.26316504
All EVSE,Year2014,64.47154309
All EVSE,Year2014,48.59600724
All EVSE,Year2014,30.00694141
All EVSE,Year2014,23.546893
All EVSE,Year2014,30.47068264
All EVSE,Year2014,140.110006
All EVSE,Year2014,15.08198564
All EVSE,Year2014,66.58867994
All EVSE,Year2014,3.014411552
All EVSE,Year2014,27.14574457
All EVSE,Year2014,10.26547537
All EVSE,Year2014,26.04182673
All EVSE,Year2014,16.05756587
All EVSE,Year2014,74.94642765
All EVSE,Year2014,46.74776533
All EVSE,Year2014,23.40683548
All EVSE,Year2014,35.70563556
All EVSE,Year2014,9.146982402
All EVSE,Year2014,29.8016741
All EVSE,Year2014,40.31233838
All EVSE,Year2014,17.37035611
All EVSE,Year2014,129.0089441
All EVSE,Year2014,22.66066336
All EVSE,Year2014,83.21650092
All EVSE,Year2014,19.77487183
All EVSE,Year2014,30.18734569
All EVSE,Year2014,102.8151648
All EVSE,Year2014,36.11539283
All EVSE,Year2014,44.437486
All EVSE,Year2014,131.2725136
All EVSE,Year2014,12.62456859
All EVSE,Year2014,45.51462799
All EVSE,Year2014,603.0526498
All EVSE,Year2014,27.3452875
All EVSE,Year2014,270.4305241
All EVSE,Year2014,191.7110354
All EVSE,Year2014,111.4563098
All EVSE,Year2014,124.6113065
All EVSE,Year2014,280.4291435
All EVSE,Year2014,12.5273471
All EVSE,Year2014,128.4612776
All EVSE,Year2014,35.03873991
All EVSE,Year2014,186.1260587
All EVSE,Year2014,11.15220307
All EVSE,Year2014,663.6942801
All EVSE,Year2014,703.5032663
All EVSE,Year2014,174.0027839
All EVSE,Year2014,257.6337112
All EVSE,Year2014,121.0421456
All EVSE,Year2014,200.9003591
All EVSE,Year2014,272.7994639
All EVSE,Year2014,41.31683724
All EVSE,Year2014,64.89160889
All EVSE,Year2014,67.93331472
All EVSE,Year2014,112.2753908
All EVSE,Year2014,27.72003779
