EVSE_Type,Year,Accessibility
All EVSE,Year2014,3.269519796464778
All EVSE,Year2014,4.651382116866938
All EVSE,Year2014,1.816142573715099
All EVSE,Year2014,6.977540476422416
All EVSE,Year2014,1.5687491529323965
All EVSE,Year2014,3.2834119924541785
All EVSE,Year2014,6.148036448062514
All EVSE,Year2014,0.4384024795151281
All EVSE,Year2014,12.616092085770264
All EVSE,Year2014,0.6742796397439359
All EVSE,Year2014,0.3093874993195137
All EVSE,Year2014,2.7040729216050767
All EVSE,Year2014,0.4556986979456301
All EVSE,Year2014,2.6372741063690204
All EVSE,Year2014,10.6623748146897
All EVSE,Year2014,0.8090517754703447
All EVSE,Year2014,6.060005109552392
All EVSE,Year2014,0.5816918727924002
All EVSE,Year2014,13.659282195347563
All EVSE,Year2014,1.0633522232070172
All EVSE,Year2014,0.9933042496552764
All EVSE,Year2014,4.277643407948835
All EVSE,Year2014,1.0036701811150737
All EVSE,Year2014,0.4481328179139091
All EVSE,Year2014,0.3703303648530282
All EVSE,Year2014,1.2521049389916337
All EVSE,Year2014,0.9550259844125762
All EVSE,Year2014,0.0012647061362488
All EVSE,Year2014,6.001226112057027
All EVSE,Year2014,3.4608714862617918
All EVSE,Year2014,4.835295437984884
All EVSE,Year2014,2.3078182962634246
All EVSE,Year2014,0.4543446244839632
All EVSE,Year2014,11.595737558605014
All EVSE,Year2014,1.1770596866748366
All EVSE,Year2014,0.3875629887816955
All EVSE,Year2014,0.420282183174463
All EVSE,Year2014,1.3926651234099925
All EVSE,Year2014,1.2554583212797428
All EVSE,Year2014,0.4534306232713378
All EVSE,Year2014,0.9523848252717472
All EVSE,Year2014,1.9070923796574677
All EVSE,Year2014,0.622640254235657
All EVSE,Year2014,0.8656675493227606
All EVSE,Year2014,5.061543302388919
All EVSE,Year2014,6.898826110631236
All EVSE,Year2014,39.06765260185367
All EVSE,Year2014,6.165107391597812
All EVSE,Year2014,0.3662618584132969
All EVSE,Year2014,1.6655312115767462
All EVSE,Year2014,0.7998967345723379
All EVSE,Year2014,1.1738037580266054
All EVSE,Year2014,0.8064224301805749
All EVSE,Year2014,2.1024572530689416
All EVSE,Year2014,0.7841937971698197
All EVSE,Year2014,0.7577258515763464
All EVSE,Year2014,0.5599746218696476
All EVSE,Year2014,1.0086667968292533
All EVSE,Year2014,0.4129734537973554
All EVSE,Year2014,1.3026932713907653
All EVSE,Year2014,2.2964140308942924
All EVSE,Year2014,0.260430034829208
All EVSE,Year2014,1.0496634307481392
All EVSE,Year2014,0.7787886805806957
All EVSE,Year2014,6.271730373644979
All EVSE,Year2014,0.242805800051557
All EVSE,Year2014,8.695098558314358
All EVSE,Year2014,1.0343199841244008
All EVSE,Year2014,1.911717700532775
All EVSE,Year2014,0.6655776099461244
All EVSE,Year2014,0.2446286041223832
All EVSE,Year2014,1.6044158940288276
All EVSE,Year2014,1.5511118494020208
All EVSE,Year2014,0.6581059834381173
All EVSE,Year2014,1.5075518331715123
All EVSE,Year2014,1.0674547448733045
All EVSE,Year2014,2.0815027284576466
All EVSE,Year2014,0.3712203921635906
All EVSE,Year2014,0.7003314288402088
All EVSE,Year2014,1.292779784154269
All EVSE,Year2014,1.1345801535574136
All EVSE,Year2014,2.454091762301891
All EVSE,Year2014,3.90697440210628
All EVSE,Year2014,0.7879812280659119
All EVSE,Year2014,2.966168577674947
All EVSE,Year2014,0.4013849501933303
All EVSE,Year2014,0.8663203020811083
All EVSE,Year2014,0.7551260649840272
All EVSE,Year2014,0.809336361469787
All EVSE,Year2014,1.2192258992368863
All EVSE,Year2014,0.8601258648211064
All EVSE,Year2014,5.9768357722297765
All EVSE,Year2014,21.43058998547638
All EVSE,Year2014,13.284513519726469
All EVSE,Year2014,12.978648731420586
All EVSE,Year2014,1.498484775994983
All EVSE,Year2014,11.064027661693368
All EVSE,Year2014,7.761512340680984
All EVSE,Year2014,4.075332192787612
All EVSE,Year2014,7.171575375815108
All EVSE,Year2014,108.9896109456032
All EVSE,Year2014,28.19689008718313
All EVSE,Year2014,5.1245095625645725
All EVSE,Year2014,10.42488823666041
All EVSE,Year2014,6.59182058350978
All EVSE,Year2014,14.409943253868436
All EVSE,Year2014,25.35190558024371
All EVSE,Year2014,10.557290608301948
All EVSE,Year2014,15.133033548989255
All EVSE,Year2014,16.47807030552141
All EVSE,Year2014,15.080699021979587
All EVSE,Year2014,12.89913717987485
All EVSE,Year2014,18.754695630930573
All EVSE,Year2014,18.33597038389748
All EVSE,Year2014,14.235638994645427
All EVSE,Year2014,5.008951648392642
All EVSE,Year2014,0.334042573284296
All EVSE,Year2014,0.6881129739900747
All EVSE,Year2014,1.1184406038956085
All EVSE,Year2014,0.9694982373221231
All EVSE,Year2014,0.9820586099478305
All EVSE,Year2014,0.4137347007999745
All EVSE,Year2014,1.3396913348600048
All EVSE,Year2014,1.7346614899939752
All EVSE,Year2014,1.3179853285036127
All EVSE,Year2014,1.3997967035109693
All EVSE,Year2014,1.452765210414562
All EVSE,Year2014,1.531387638533866
All EVSE,Year2014,0.2841042166427885
All EVSE,Year2014,1.4373090299261526
All EVSE,Year2014,0.2441013110573609
All EVSE,Year2014,1.0193731281876446
All EVSE,Year2014,1.3677704957636627
All EVSE,Year2014,1.4442871016090306
All EVSE,Year2014,0.6202545113170006
All EVSE,Year2014,0.4893566341662628
All EVSE,Year2014,0.5638185421974365
All EVSE,Year2014,2.0577326033260275
All EVSE,Year2014,0.9305981061605992
All EVSE,Year2014,3.0002361603275065
All EVSE,Year2014,1.705628491499763
All EVSE,Year2014,2.051437493205237
All EVSE,Year2014,2.037204135176939
All EVSE,Year2014,1.278952850219076
All EVSE,Year2014,0.3510901159106308
All EVSE,Year2014,0.0954752276280693
All EVSE,Year2014,1.2944106974586544
All EVSE,Year2014,10.03312154099472
All EVSE,Year2014,8.46284128679798
All EVSE,Year2014,5.780815730559601
All EVSE,Year2014,14.535862941760056
All EVSE,Year2014,0.4524975163586628
All EVSE,Year2014,0.2703667290116853
