,Year,EVSE_Count
1027,2014,1.0
1028,2014,1.0
1035,2014,1.0
1037,2014,1.0
1045,2014,1.0
1057,2014,2.0
1058,2014,6.0
1076,2014,2.0
1077,2014,2.0
1086,2014,1.0
1087,2014,1.0
1089,2014,1.0
1090,2014,1.0
1092,2014,1.0
1093,2014,1.0
1095,2014,1.0
1096,2014,1.0
1097,2014,1.0
1098,2014,1.0
1099,2014,2.0
1101,2014,2.0
1102,2014,1.0
1103,2014,2.0
1104,2014,3.0
1105,2014,2.0
1107,2014,2.0
1108,2014,1.0
1109,2014,1.0
1110,2014,1.0
1112,2014,1.0
1116,2014,1.0
1117,2014,1.0
1118,2014,2.0
1119,2014,1.0
1120,2014,1.0
1121,2014,1.0
1122,2014,1.0
1123,2014,1.0
1124,2014,1.0
1126,2014,1.0
1127,2014,1.0
1128,2014,1.0
1129,2014,1.0
1130,2014,1.0
1131,2014,1.0
1132,2014,1.0
1133,2014,1.0
1134,2014,1.0
1135,2014,1.0
1136,2014,1.0
1137,2014,1.0
1138,2014,1.0
1139,2014,1.0
1140,2014,1.0
1143,2014,2.0
1144,2014,1.0
1145,2014,1.0
1146,2014,1.0
1147,2014,1.0
1148,2014,1.0
1149,2014,1.0
1150,2014,3.0
1153,2014,1.0
1154,2014,1.0
1155,2014,1.0
1166,2014,1.0
1167,2014,2.0
1168,2014,2.0
1169,2014,3.0
1170,2014,2.0
1171,2014,2.0
1172,2014,2.0
1173,2014,2.0
1174,2014,1.0
1177,2014,2.0
1184,2014,1.0
1187,2014,2.0
1188,2014,1.0
1189,2014,1.0
1190,2014,2.0
1191,2014,1.0
1192,2014,2.0
1193,2014,1.0
1194,2014,1.0
1195,2014,1.0
1196,2014,1.0
1197,2014,1.0
1198,2014,1.0
1199,2014,1.0
1200,2014,1.0
1201,2014,1.0
1202,2014,1.0
1203,2014,1.0
1204,2014,2.0
1205,2014,2.0
1206,2014,1.0
1208,2014,5.0
1209,2014,4.0
1210,2014,2.0
1211,2014,1.0
