,Year,EVSE_Count
74480,2015,8.0
74481,2015,6.0
74482,2015,4.0
74483,2015,12.0
74496,2015,2.0
74505,2015,2.0
74516,2015,2.0
74544,2015,8.0
74570,2015,2.0
74571,2015,2.0
74572,2015,2.0
74574,2015,2.0
74578,2015,1.0
74586,2015,6.0
74592,2015,2.0
74597,2015,8.0
74599,2015,1.0
74617,2015,1.0
74620,2015,3.0
74627,2015,2.0
74632,2015,1.0
74642,2015,1.0
74671,2015,6.0
74672,2015,8.0
74673,2015,4.0
74674,2015,6.0
74677,2015,6.0
74683,2015,6.0
74690,2015,4.0
74720,2015,1.0
74726,2015,8.0
74745,2015,4.0
74746,2015,8.0
74758,2015,8.0
74829,2015,8.0
74832,2015,8.0
74835,2015,4.0
74836,2015,6.0
74837,2015,6.0
74843,2015,3.0
74845,2015,3.0
74846,2015,3.0
74847,2015,3.0
74849,2015,1.0
74850,2015,1.0
74854,2015,4.0
74856,2015,6.0
74857,2015,6.0
74871,2015,6.0
74874,2015,8.0
74895,2015,8.0
74911,2015,6.0
74923,2015,5.0
74925,2015,6.0
74926,2015,6.0
74927,2015,4.0
74928,2015,4.0
74933,2015,6.0
74934,2015,1.0
74936,2015,6.0
74937,2015,6.0
74938,2015,4.0
74965,2015,2.0
74988,2015,2.0
74994,2015,2.0
75234,2015,1.0
75235,2015,1.0
75274,2015,1.0
75295,2015,1.0
75348,2015,2.0
75358,2015,4.0
75359,2015,4.0
75360,2015,6.0
75361,2015,6.0
75362,2015,4.0
75363,2015,4.0
75364,2015,4.0
75365,2015,4.0
75366,2015,4.0
75367,2015,6.0
75368,2015,2.0
75369,2015,6.0
75370,2015,4.0
75371,2015,4.0
75372,2015,4.0
75373,2015,6.0
75374,2015,6.0
75375,2015,6.0
75376,2015,8.0
75377,2015,3.0
75378,2015,1.0
75385,2015,1.0
75386,2015,1.0
75400,2015,1.0
75401,2015,1.0
75414,2015,2.0
75458,2015,1.0
75465,2015,8.0
75466,2015,6.0
75467,2015,8.0
75468,2015,3.0
75469,2015,1.0
75470,2015,4.0
75471,2015,3.0
75472,2015,3.0
75473,2015,3.0
75474,2015,3.0
75475,2015,3.0
75476,2015,3.0
75477,2015,3.0
75478,2015,1.0
75479,2015,1.0
75482,2015,1.0
75486,2015,1.0
75488,2015,1.0
75522,2015,1.0
75558,2015,6.0
75559,2015,4.0
75597,2015,1.0
75600,2015,2.0
75601,2015,4.0
75602,2015,8.0
75618,2015,1.0
75621,2015,1.0
75643,2015,1.0
75667,2015,1.0
75670,2015,1.0
75678,2015,2.0
75707,2015,1.0
75717,2015,1.0
75719,2015,8.0
75720,2015,4.0
75721,2015,4.0
75722,2015,4.0
75728,2015,1.0
75731,2015,1.0
75734,2015,1.0
75736,2015,1.0
75737,2015,1.0
75738,2015,1.0
75739,2015,1.0
75768,2015,1.0
75771,2015,1.0
75772,2015,1.0
75782,2015,1.0
75784,2015,5.0
75785,2015,1.0
75786,2015,3.0
75787,2015,3.0
75788,2015,1.0
75790,2015,2.0
75808,2015,1.0
75816,2015,1.0
75822,2015,4.0
75823,2015,4.0
75824,2015,4.0
75825,2015,4.0
75826,2015,4.0
75837,2015,4.0
75838,2015,6.0
75849,2015,1.0
75850,2015,1.0
75851,2015,1.0
75853,2015,2.0
75863,2015,1.0
75864,2015,1.0
75865,2015,1.0
75866,2015,1.0
75867,2015,1.0
75868,2015,1.0
75869,2015,1.0
75870,2015,1.0
75872,2015,1.0
75873,2015,1.0
75885,2015,1.0
75886,2015,1.0
75900,2015,1.0
75902,2015,1.0
75903,2015,1.0
75904,2015,1.0
75911,2015,1.0
75923,2015,1.0
75953,2015,1.0
75963,2015,1.0
75965,2015,2.0
75968,2015,1.0
75971,2015,7.0
75972,2015,6.0
76005,2015,1.0
76030,2015,1.0
76041,2015,7.0
76042,2015,4.0
76043,2015,6.0
76044,2015,8.0
76045,2015,4.0
76047,2015,1.0
76050,2015,3.0
76051,2015,3.0
76052,2015,1.0
76053,2015,3.0
76054,2015,3.0
76055,2015,3.0
76056,2015,1.0
76057,2015,3.0
76058,2015,1.0
76059,2015,5.0
76063,2015,1.0
76064,2015,1.0
76065,2015,1.0
76067,2015,1.0
76072,2015,1.0
76073,2015,1.0
76074,2015,1.0
76075,2015,1.0
76076,2015,1.0
76077,2015,1.0
76078,2015,1.0
76079,2015,1.0
76080,2015,1.0
76081,2015,1.0
76082,2015,1.0
76083,2015,1.0
76084,2015,1.0
76085,2015,1.0
76086,2015,1.0
76087,2015,1.0
76120,2015,2.0
76121,2015,1.0
76147,2015,2.0
76148,2015,2.0
76152,2015,8.0
76153,2015,8.0
76174,2015,1.0
76177,2015,2.0
76200,2015,3.0
76202,2015,3.0
76203,2015,5.0
76204,2015,3.0
76205,2015,4.0
76206,2015,2.0
76207,2015,3.0
76208,2015,1.0
76209,2015,1.0
76219,2015,1.0
76262,2015,1.0
76289,2015,1.0
76298,2015,1.0
76316,2015,1.0
76323,2015,1.0
76331,2015,1.0
76332,2015,3.0
76333,2015,3.0
76334,2015,1.0
76335,2015,6.0
76336,2015,6.0
76337,2015,6.0
76338,2015,6.0
76339,2015,4.0
76346,2015,1.0
76374,2015,2.0
76375,2015,2.0
76376,2015,2.0
76378,2015,2.0
76393,2015,1.0
76394,2015,1.0
76395,2015,4.0
76396,2015,1.0
76397,2015,1.0
76422,2015,6.0
76423,2015,6.0
76424,2015,8.0
76450,2015,2.0
76481,2015,2.0
76492,2015,2.0
76502,2015,1.0
76506,2015,1.0
76514,2015,1.0
76519,2015,3.0
76520,2015,1.0
76521,2015,1.0
76522,2015,1.0
76523,2015,1.0
76524,2015,1.0
76532,2015,4.0
76537,2015,1.0
76562,2015,1.0
76570,2015,2.0
76606,2015,5.0
76607,2015,4.0
76608,2015,6.0
